dataset,landslide,type,soil_texture_idx,PGA2_max,x,y,predicted_susceptibility
training,0.0,Undifferentiated,7,0.14340615272521973,-47.696815,-11.810306,0.06584320217370987
training,0.0,Undifferentiated,7,0.1947368085384369,-72.5707,-4.3111835,0.19029167294502258
training,0.0,Undifferentiated,7,0.17530202865600586,-53.719704,-0.828633,0.05130457505583763
training,0.0,Undifferentiated,7,0.25453051924705505,-66.439865,20.336506,0.16811250150203705
training,0.0,Undifferentiated,7,0.19664622843265533,-71.34645,-3.574742,0.15747113525867462
training,0.0,Undifferentiated,7,0.18043620884418488,-56.790356,-34.330204,0.28858429193496704
training,0.0,Undifferentiated,7,0.34479624032974243,-47.365223,40.61311,0.2473514974117279
training,0.0,Sandy Clay Loam,7,0.3595115542411804,5.559215,30.7673,0.08143088966608047
training,0.0,Undifferentiated,7,0.194101482629776,-73.88431,-4.803166,0.3007115125656128
training,0.0,Sandy Clay Loam,7,0.3343520164489746,11.067983,-68.671326,0.3134637176990509
training,0.0,Undifferentiated,7,0.14080700278282166,-15.337744,-20.995146,0.06771242618560791
training,0.0,Sandy Clay Loam,7,0.30889827013015747,3.8695092,-30.849752,0.08977314829826355
training,0.0,Undifferentiated,7,0.17718647420406342,-11.924066,-10.697377,0.06103484705090523
training,0.0,Undifferentiated,7,0.13769184052944183,-46.88059,-20.229551,0.14669911563396454
training,0.0,Undifferentiated,7,0.14762039482593536,-52.61884,-14.605189,0.10760422050952911
training,0.0,Undifferentiated,7,0.12931789457798004,-29.508032,-29.266209,0.1755257546901703
training,0.0,Undifferentiated,7,0.1886572241783142,-68.06893,-5.46291,0.12367356568574905
training,0.0,Undifferentiated,7,0.21778301894664764,-13.037795,-23.16932,0.09618403762578964
training,0.0,Sandy Clay Loam,7,0.425046443939209,21.062012,-62.942764,0.15557634830474854
training,0.0,Undifferentiated,7,0.1275864839553833,-24.484941,-28.551205,0.1577831655740738
training,0.0,Sandy Clay Loam,7,0.39627912640571594,13.194009,-71.97117,0.23472510278224945
training,0.0,Sandy Clay Loam,11,0.2641238570213318,54.35717,-40.155647,0.7617518305778503
training,0.0,Sandy Clay Loam,7,0.34938934445381165,-0.66806036,-31.628878,0.10175827145576477
training,0.0,Sandy Clay Loam,7,0.3116219639778137,21.381113,-46.779003,0.1839330494403839
training,0.0,Undifferentiated,7,0.12876127660274506,-25.106712,-20.022226,0.07368575036525726
training,0.0,Undifferentiated,7,0.3562651574611664,-52.76601,43.46265,0.07137662917375565
training,0.0,Sandy Clay Loam,7,0.3595115542411804,7.7271714,37.98858,0.07589671015739441
training,0.0,Sandy Clay Loam,7,0.1808425784111023,23.556885,-33.8673,0.9900349974632263
training,0.0,Undifferentiated,7,0.15433759987354279,-48.47653,-22.040483,0.14165577292442322
training,0.0,Sandy Clay Loam,11,0.35359734296798706,60.864315,-14.253761,0.20922397077083588
training,0.0,Undifferentiated,7,0.15246617794036865,-24.624506,-21.047585,0.07207141071557999
training,0.0,Sandy Clay Loam,7,0.302333265542984,5.8857245,62.36859,0.4246932566165924
training,0.0,Sandy Clay Loam,11,0.42138102650642395,56.03255,-19.05477,0.08170641958713531
training,0.0,Undifferentiated,7,0.145774245262146,-35.05036,-13.002435,0.28017905354499817
training,0.0,Undifferentiated,7,0.19664622843265533,-68.28766,-1.3414567,0.13798364996910095
training,0.0,Sandy Clay Loam,7,0.344834566116333,3.3873272,-33.287037,0.050914496183395386
training,0.0,Sandy Clay Loam,7,0.36185261607170105,5.8598614,-62.578606,0.19506347179412842
training,0.0,Undifferentiated,7,0.1755928099155426,-61.54045,-27.31406,0.15219426155090332
training,0.0,Sandy Clay Loam,7,0.3900618851184845,2.7822595,33.062843,0.044766657054424286
training,0.0,Sandy Clay Loam,7,0.21791008114814758,38.594418,13.058455,0.05429094284772873
training,0.0,Undifferentiated,7,0.11951648443937302,-15.908783,-27.774174,0.08362454921007156
training,0.0,Undifferentiated,7,0.12521718442440033,-20.11301,-31.533106,0.22924648225307465
training,0.0,Undifferentiated,7,0.21702127158641815,-63.53982,-17.718164,0.16947127878665924
training,0.0,Undifferentiated,11,0.14334072172641754,30.927057,-10.608021,0.33335617184638977
training,0.0,Undifferentiated,7,0.1328883022069931,-27.669157,-18.59257,0.10243568569421768
training,0.0,Sandy Clay Loam,7,0.3599906265735626,-4.1555552,-36.478855,0.12738479673862457
training,0.0,Undifferentiated,7,0.20199111104011536,-68.35662,-1.1922914,0.1304617077112198
training,0.0,Undifferentiated,7,0.3354196846485138,-30.295504,44.191658,0.07525406032800674
training,0.0,Undifferentiated,7,0.18644578754901886,-58.002106,-29.48735,0.22506031394004822
training,0.0,Sandy Clay Loam,7,0.34938934445381165,2.7342021,-32.734653,0.0720997005701065
training,0.0,Undifferentiated,7,0.17322418093681335,-45.48213,-9.986984,0.04849342629313469
training,0.0,Sandy Clay Loam,7,0.3514753580093384,3.8031833,-33.768417,0.05012304335832596
training,0.0,Undifferentiated,7,0.2063341736793518,-65.29239,-10.191214,0.06416657567024231
training,0.0,Undifferentiated,11,0.1734929233789444,41.2069,-8.647747,0.06595195829868317
training,0.0,Sandy Clay Loam,11,0.2444893717765808,58.601307,-40.13831,0.11304308474063873
training,0.0,Undifferentiated,7,0.3519453704357147,-52.309055,43.913643,0.050900209695100784
training,0.0,Sandy Clay Loam,7,0.26143309473991394,-11.135122,-61.33372,0.9083091616630554
training,0.0,Undifferentiated,7,0.18489883840084076,-17.236935,-22.547556,0.07700014114379883
training,0.0,Undifferentiated,7,0.18294677138328552,-68.043434,-9.3149605,0.0702534168958664
training,0.0,Undifferentiated,7,0.2271208018064499,-44.573097,30.866749,0.0502176359295845
training,0.0,Undifferentiated,7,0.14873363077640533,-26.257847,-20.783651,0.08032719045877457
training,0.0,Undifferentiated,7,0.1986752450466156,-4.8543935,-12.9737425,0.06838531047105789
training,0.0,Undifferentiated,7,0.21004486083984375,-68.64925,19.425213,0.31923428177833557
training,0.0,Undifferentiated,7,0.21563993394374847,-30.898642,23.020823,0.06549086421728134
training,0.0,Undifferentiated,7,0.1377933770418167,-34.51497,-12.356443,0.2232646495103836
training,0.0,Sandy Clay Loam,7,0.40357276797294617,-5.410573,-73.66795,0.8479699492454529
training,0.0,Sandy Clay Loam,7,0.45949503779411316,-7.9914527,-76.21327,0.9183800220489502
training,0.0,Undifferentiated,7,0.15013901889324188,-47.930496,-26.798994,0.23874738812446594
training,0.0,Sandy Clay Loam,7,0.3395790755748749,0.8493603,-64.97412,0.10113293677568436
training,0.0,Undifferentiated,11,0.13187041878700256,31.03319,-12.776473,0.16945253312587738
training,0.0,Sandy Clay Loam,7,0.1790253072977066,-14.663219,-27.09075,0.08789318799972534
training,0.0,Undifferentiated,7,0.19891883432865143,-41.099968,23.322435,0.24002757668495178
training,0.0,Sandy Clay Loam,7,0.3480093777179718,26.193188,-52.35356,0.15527664124965668
training,0.0,Undifferentiated,7,0.26726701855659485,-39.848038,40.432095,0.06933651119470596
training,0.0,Undifferentiated,7,0.19168704748153687,-39.708256,-35.38397,0.4288179874420166
training,0.0,Sandy Clay Loam,11,0.3947133421897888,59.8364,-16.189434,0.14101549983024597
training,0.0,Undifferentiated,7,0.13614702224731445,-49.279,-27.885609,0.20311501622200012
training,0.0,Sandy Clay Loam,7,0.32369494438171387,-0.88089186,-62.64426,0.19467444717884064
training,0.0,Sandy Clay Loam,7,0.21017968654632568,-21.527224,-26.43721,0.37330859899520874
training,0.0,Undifferentiated,7,0.14699511229991913,-34.13805,-8.41231,0.10793179273605347
training,0.0,Undifferentiated,7,0.24854639172554016,-38.09906,39.69371,0.12131698429584503
